,submission_date,state,new_case,caseInterpolate_MA7,caseInterpolate_savitzky31_3,caseInterpolate_gauss8,caseInterpolate_gauss3
1256,2021-04-15,HI,95,94.85714285714286,1283.4200774649478,95,94
2853,2021-04-16,HI,85,95.42857142857143,1250.0490158327477,94,94
3544,2021-04-17,HI,184,92.85714285714286,1212.4211646922918,93,93
4053,2021-04-18,HI,109,95.71428571428571,1183.2304921968785,93,91
3624,2021-04-19,HI,64,95.14285714285714,1117.3940519604066,92,89
35432,2021-04-20,HI,38,91.71428571428571,1086.7626220299437,92,86
3611,2021-04-21,HI,68,91.85714285714286,1102.2389635099316,92,84
36870,2021-04-22,HI,92,91.42857142857143,1078.3581961086315,91,84
35460,2021-04-23,HI,89,92.0,1039.5424584928307,91,84
4289,2021-04-24,HI,99,79.85714285714286,993.5684613468026,91,85
3483,2021-04-25,HI,119,81.28571428571429,961.9188203583317,91,86
32788,2021-04-26,HI,65,81.42857142857143,936.064486171827,91,88
388,2021-04-27,HI,48,82.85714285714286,891.95911572176,91,91
36224,2021-04-28,HI,68,82.85714285714286,817.8210151985321,91,94
32682,2021-04-29,HI,115,86.14285714285714,832.2380801377151,91,98
32932,2021-04-30,HI,114,89.71428571428571,786.384312215452,91,101
32604,2021-05-01,HI,188,102.42857142857143,737.7017599492624,91,102
5286,2021-05-02,HI,107,100.71428571428571,656.9914833858071,90,101
2009,2021-05-03,HI,71,101.57142857142857,659.9587533126456,90,99
35443,2021-05-04,HI,72,105.0,581.8348546965954,89,96
34490,2021-05-05,HI,54,103.0,607.1356769122743,89,94
3139,2021-05-06,HI,123,104.14285714285714,586.0515753471198,88,91
317,2021-05-07,HI,108,103.28571428571429,550.130467281252,87,88
33569,2021-05-08,HI,123,94.0,515.7175473963168,86,85
34363,2021-05-09,HI,73,89.14285714285714,490.32927133117374,85,81
1868,2021-05-10,HI,52,86.42857142857143,469.1126186323585,83,78
32751,2021-05-11,HI,58,84.42857142857143,505.8915943735984,82,77
33102,2021-05-12,HI,39,82.28571428571429,452.56608303698823,81,77
4730,2021-05-13,HI,73,75.14285714285714,433.6372511268657,79,79
1325,2021-05-14,HI,80,71.14285714285714,397.59747672653947,78,82
3083,2021-05-15,HI,149,74.85714285714286,370.1103082742529,76,84
803,2021-05-16,HI,116,81.0,352.6532197784773,74,84
865,2021-05-17,HI,67,83.14285714285714,338.41024711771485,73,83
1901,2021-05-18,HI,53,82.42857142857143,287.9262723957507,71,79
32462,2021-05-19,HI,95,90.42857142857143,310.1456658134951,69,75
1184,2021-05-20,HI,79,91.28571428571429,294.7567328818319,67,70
1425,2021-05-21,HI,47,86.57142857142857,269.2749326145551,66,64
2752,2021-05-22,HI,89,78.0,247.32456001268426,64,59
37475,2021-05-23,HI,44,67.71428571428571,236.2247842533239,62,54
32403,2021-05-24,HI,34,63.0,226.10659358082845,61,50
3867,2021-05-25,HI,20,58.285714285714285,219.92747287594275,59,48
2844,2021-05-26,HI,46,51.285714285714285,216.00530023330077,58,47
2522,2021-05-27,HI,53,47.57142857142857,205.17307300278594,57,48
36342,2021-05-28,HI,37,46.142857142857146,190.4332374459217,56,49
35639,2021-05-29,HI,45,39.857142857142854,175.43165190604535,55,51
4583,2021-05-30,HI,119,50.57142857142857,166.8226233889782,54,51
36301,2021-05-31,HI,27,49.57142857142857,156.74543024757068,53,51
